Ticker,Name,Exchange,ICB_Sector_L1,ICB_Sector_L2,ICB_Sector_L3,ICB_Sector_L4
SAV,Savimex,HOSE,Nguyên vật liệu L1,Tài nguyên Cơ bản L2,Lâm nghiệp và Giấy L3,Lâm sản và Chế biến gỗ L4
SBA,Sông Ba JSC,HOSE,Tiện ích Cộng đồng L1,"Điện, nước & xăng dầu khí đốt L2",Sản xuất & Phân phối Điện L3,Sản xuất & Phân phối Điện L4
SBT,Mía đường Thành Thành Công - Biên Hòa,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Sản xuất thực phẩm L3,Thực phẩm L4
SBV,Siam Brothers Việt Nam,HOSE,Dịch vụ Tiêu dùng L1,Bán lẻ L2,Bán lẻ L3,Phân phối hàng chuyên dụng L4
SC5,Xây dựng Số 5,HOSE,Công nghiệp L1,Xây dựng và Vật liệu L2,Xây dựng và Vật liệu L3,Xây dựng L4
SCD,Giải khát Chương Dương,HOSE,Hàng Tiêu dùng L1,Thực phẩm và đồ uống L2,Bia và đồ uống L3,Đồ uống & giải khát L4
SCR,Sacomreal,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
SCS,DV Hàng hóa Sài Gòn,HOSE,Dịch vụ Tiêu dùng L1,Du lịch và Giải trí L2,Du lịch & Giải trí L3,Dịch vụ hàng không L4
SFC,Nhiên liệu Sài Gòn,HOSE,Tiện ích Cộng đồng L1,"Điện, nước & xăng dầu khí đốt L2",Nước & Khí đốt L3,Phân phối xăng dầu & khí đốt L4
SFG,Phân bón Miền Nam,HOSE,Nguyên vật liệu L1,Hóa chất L2,Hóa chất L3,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác L4"
SFI,Vận tải SAFI,HOSE,Công nghiệp L1,Hàng & Dịch vụ Công nghiệp L2,Vận tải L3,Vận tải Thủy L4
SGN,Phục vụ mặt đất Sài Gòn,HOSE,Công nghiệp L1,Hàng & Dịch vụ Công nghiệp L2,Vận tải L3,"Kho bãi, hậu cần và bảo dưỡng L4"
SGR,Địa ốc Sài Gòn,HOSE,Tài chính L1,Bất động sản L2,Bất động sản L3,Bất động sản L4
SGT,Sài Gòn Telecom,HOSE,Công nghệ Thông tin L1,Công nghệ Thông tin L2,Phần mềm & Dịch vụ Máy tính L3,Internet L4
SHA,Sơn Hà Sài Gòn,HOSE,Nguyên vật liệu L1,Tài nguyên Cơ bản L2,Kim loại L3,Thép và sản phẩm thép L4
SHB,SHB,HOSE,Ngân hàng L1,Ngân hàng L2,Ngân hàng L3,Ngân hàng L4
